Enorllment_ID,Course
2022AM1000,AML733
2022AM1001,AML733
2022AM1002,AML733
2022AM1003,AML733
2022AM1004,AML733
2022AM1005,AML733
2022AM1006,AML733
2022AM1007,AML733
2022AM1008,AML733
2022AM1009,AML733
2022AM1010,AML733
2022AM1011,AML733
2022AM1012,AML733
2022AM1013,AML733
2022AM1014,AML733
2022AM1015,AML733
2022AM1016,AML733
2022AM1017,AML733
2022AM1018,AML733
2022AM1019,AML733
2022AM1020,AML733
2022AM1021,AML733
2022AM1022,AML733
2022AM1023,AML733
2022AM1024,AML733
2022AM1025,AML733
2022AM1026,AML733
2022AM1027,AML733
2022AM1028,AML733
2022AM1029,AML733
2022AM1030,AML733
2022AM1031,AML733
2022AM1032,AML733
2022AM1033,AML733
2022AM1034,AML733
2022AM1035,AML733
2022AM1036,AML733
2022AM1037,AML733
2022AM1038,AML733
2022AM1039,AML733
2022AM1040,AML733
2022AM1041,AML733
2022AM1042,AML733
2022AM1043,AML733
2022AM1044,AML733
2022AM1045,AML733
2022AM1046,AML733
2022AM1047,AML733
2022AM1048,AML733
2022AM1049,AML733
2022AM1050,AML733
2022AM1051,AML733
2022AM1052,AML733
2022AM1053,AML733
2022AM1054,AML733
2022AM1055,AML733
2022AM1056,AML733
2022AM1057,AML733
2022AM1058,AML733
2022AM1059,AML733
2022AP1060,APL101
2022AP1061,APL101
2022AP1062,APL101
2022AP1063,APL101
2022AP1064,APL101
2022AP1065,APL101
2022AP1066,APL101
2022AP1067,APL101
2022AP1068,APL101
2022AP1069,APL101
2022AP1070,APL101
2022AP1071,APL101
2022AP1072,APL101
2022AP1073,APL101
2022AP1074,APL101
2022AP1075,APL101
2022AP1076,APL101
2022AP1077,APL101
2022AP1078,APL101
2022AP1079,APL101
2022AP1080,APL101
2022AP1081,APL101
2022AP1082,APL101
2022AP1083,APL101
2022AP1084,APL101
2022AP1085,APL101
2022AP1086,APL101
2022AP1087,APL101
2022AP1088,APL101
2022AP1089,APL101
2022AP1090,APL101
2022AP1091,APL101
2022AP1092,APL101
2022AP1093,APL101
2022AP1094,APL101
2022AP1095,APL101
2022AP1096,APL101
2022AP1097,APL101
2022AP1098,APL101
2022AP1099,APL101
2022AP1100,APL101
2022AP1101,APL101
2022AP1102,APL101
2022AP1103,APL101
2022AP1104,APL101
2022AP1105,APL101
2022AP1106,APL101
2022AP1107,APL101
2022AP1108,APL101
2022AP1109,APL101
2022AP1110,APL101
2022AP1111,APL101
2022AP1112,APL101
2022AP1113,APL101
2022AP1114,APL101
2022AP1115,APL101
2022AP1116,APL101
2022AP1117,APL101
2022AP1118,APL101
2022AP1119,APL101
2022AP1120,APL101
2022AP1121,APL101
2022AP1122,APL101
2022AP1123,APL101
2022AP1124,APL101
2022AP1125,APL101
2022AP1126,APL101
2022AP1127,APL101
2022AP1128,APL101
2022AP1129,APL101
2022AP1130,APL101
2022AP1131,APL101
2022AP1132,APL101
2022AP1133,APL101
2022AP1134,APL101
2022AP1135,APL101
2022AP1136,APL101
2022AP1137,APL101
2022AP1138,APL101
2022AP1139,APL101
2022AP1140,APL101
2022AP1141,APL101
2022AP1142,APL101
2022AP1143,APL101
2022AP1144,APL101
2022AP1145,APL101
2022AP1146,APL101
2022AP1147,APL101
2022AP1148,APL101
2022AP1149,APL101
2022AP1150,APL101
2022AP1151,APL101
2022AP1152,APL101
2022AP1153,APL101
2022AP1154,APL101
2022AP1155,APL101
2022AP1156,APL101
2022AP1157,APL101
2022AP1158,APL101
2022AP1159,APL101
2022AP1160,APL302
2022AP1161,APL302
2022AP1162,APL302
2022AP1163,APL302
2022AP1164,APL302
2022AP1165,APL302
2022AP1166,APL302
2022AP1167,APL302
2022AP1168,APL302
2022AP1169,APL302
2022AP1170,APL302
2022AP1171,APL302
2022AP1172,APL302
2022AP1173,APL302
2022AP1174,APL302
2022AP1175,APL302
2022AP1176,APL302
2022AP1177,APL302
2022AP1178,APL302
2022AP1179,APL302
2022AP1180,APL302
2022AP1181,APL302
2022AP1182,APL302
2022AP1183,APL302
2022AP1184,APL302
2022AP1185,APL302
2022AP1186,APL302
2022AP1187,APL302
2022AP1188,APL302
2022AP1189,APL302
2022AP1190,APL302
2022AP1191,APL302
2022AP1192,APL302
2022AP1193,APL302
2022AP1194,APL302
2022AP1195,APL302
2022AP1196,APL302
2022AP1197,APL302
2022AP1198,APL302
2022AP1199,APL302
2022AP1200,APL302
2022AP1201,APL302
2022AP1202,APL302
2022AP1203,APL302
2022AP1204,APL302
2022AP1205,APL302
2022AP1206,APL302
2022AP1207,APL302
2022AP1208,APL302
2022AP1209,APL302
2022AP1210,APL734
2022AP1211,APL734
2022AP1212,APL734
2022AP1213,APL734
2022AP1214,APL734
2022AP1215,APL734
2022AP1216,APL734
2022AP1217,APL734
2022AP1218,APL734
2022AP1219,APL734
2022AP1220,APL734
2022AP1221,APL734
2022AP1222,APL734
2022AP1223,APL734
2022AP1224,APL734
2022AP1225,APL734
2022AP1226,APL734
2022AP1227,APL734
2022AP1228,APL734
2022AP1229,APL734
2022AP1230,APL734
2022AP1231,APL734
2022AP1232,APL734
2022AP1233,APL734
2022AP1234,APL734
2022AP1235,APL734
2022AP1236,APL734
2022AP1237,APL734
2022AP1238,APL734
2022AP1239,APL734
2022AP1240,APL734
2022AP1241,APL734
2022AP1242,APL734
2022AP1243,APL734
2022AP1244,APL734
2022AP1245,APL734
2022AP1246,APL734
2022AP1247,APL734
2022AP1248,APL734
2022AP1249,APL734
2022AP1250,APL734
2022AP1251,APL734
2022AP1252,APL734
2022AP1253,APL734
2022AP1254,APL734
2022AP1255,APL734
2022AP1256,APL734
2022AP1257,APL734
2022AP1258,APL734
2022AP1259,APL734
2022AP1260,APL734
2022AP1261,APL734
2022AP1262,APL734
2022AP1263,APL734
2022AP1264,APL734
2022AP1265,APL734
2022AP1266,APL734
2022AP1267,APL734
2022AP1268,APL734
2022AP1269,APL734
2022AP1270,APL734
2022AP1271,APL734
2022AP1272,APL734
2022AP1273,APL734
2022AP1274,APL734
2022AP1275,APL734
2022AP1276,APL734
2022AP1277,APL734
2022AP1278,APL734
2022AP1279,APL734
2022AP1280,APL734
2022AP1281,APL734
2022AP1282,APL734
2022AP1283,APL734
2022AP1284,APL734
2022AP1285,APL734
2022AP1286,APL734
2022AP1287,APL734
2022AP1288,APL734
2022AP1289,APL734
2022AP1290,APL734
2022AP1291,APL734
2022AP1292,APL734
2022AP1293,APL734
2022AP1294,APL734
2022AP1295,APL734
2022AP1296,APL734
2022AP1297,APL734
2022AP1298,APL734
2022AP1299,APL734
2022AP1300,APL734
2022AP1301,APL734
2022AP1302,APL734
2022AP1303,APL734
2022AP1304,APL734
2022AP1305,APL734
2022AP1306,APL734
2022AP1307,APL734
2022AP1308,APL734
2022AP1309,APL734
2022AP1310,APL734
2022AP1311,APL734
2022AP1312,APL734
2022AP1313,APL734
2022AP1314,APL734
2022AP1315,APL734
2022AP1316,APL734
2022AP1317,APL734
2022AP1318,APL734
2022AP1319,APL734
2022AP1320,APL734
2022AP1321,APL734
2022AP1322,APL734
2022AP1323,APL734
2022AP1324,APL734
2022AP1325,APL734
2022AP1326,APL734
2022AP1327,APL734
2022AP1328,APL734
2022AP1329,APL734
2022AP1330,APL734
2022AP1331,APL734
2022AP1332,APL734
2022AP1333,APL734
2022AP1334,APL734
2022AP1335,APL734
2022AP1336,APL734
2022AP1337,APL734
2022AP1338,APL734
2022AP1339,APL734
2022AP1340,APL734
2022AP1341,APL734
2022AP1342,APL734
2022AP1343,APL734
2022AP1344,APL734
2022AP1345,APL734
2022AP1346,APL734
2022AP1347,APL734
2022AP1348,APL734
2022AP1349,APL734
2022AP1350,APL734
2022AP1351,APL734
2022AP1352,APL734
2022AP1353,APL734
2022AP1354,APL734
2022AP1355,APL734
2022AP1356,APL734
2022AP1357,APL734
2022AP1358,APL734
2022AP1359,APL734
2022AP1360,APL744
2022AP1361,APL744
2022AP1362,APL744
2022AP1363,APL744
2022AP1364,APL744
2022AP1365,APL744
2022AP1366,APL744
2022AP1367,APL744
2022AP1368,APL744
2022AP1369,APL744
2022AP1370,APL744
2022AP1371,APL744
2022AP1372,APL744
2022AP1373,APL744
2022AP1374,APL744
2022AP1375,APL744
2022AP1376,APL744
2022AP1377,APL744
2022AP1378,APL744
2022AP1379,APL744
2022AP1380,APL744
2022AP1381,APL744
2022AP1382,APL744
2022AP1383,APL744
2022AP1384,APL744
2022AP1385,APL744
2022AP1386,APL744
2022AP1387,APL744
2022AP1388,APL744
2022AP1389,APL744
2022AP1390,APL744
2022AP1391,APL744
2022AP1392,APL744
2022AP1393,APL744
2022AP1394,APL744
